0,1,2,3,4
Amenef the Burning,0,31,0,177
An Astral Glyph,0,0,0,3
Annihilon,0,0,0,1
Anomaly,0,28,0,193
Arachir the Ancient One,0,0,0,1
Arthom The Hunter,0,0,0,2
Ashmunrah,0,5,0,114
Avalanche,0,0,0,5
Axeitus Headbanger,0,0,0,7
Azerus,0,0,1,3
Baron Brute,0,0,0,7
Battlemaster Zunzu,0,1,0,1
Bibby Bloodbath,0,6,0,134
Big Boss Trolliver,0,0,0,1
Black Knights,0,14,0,248
Black Vixen,0,183,0,1418
Bloodback,0,154,0,1201
Bloodpaw,0,0,0,7
Bone Capsule,0,0,0,4
Boogey,0,1,0,5
Bovinus,0,0,0,7
Bragrumol,0,0,0,35
Brain Head,0,2,0,14
Brokul,0,11,0,73
Brother Chill,0,2,0,11
Brother Freeze,0,2,0,11
Brother Worm,0,7,0,39
Bruise Payne,0,0,0,1
Brutus Bloodbeard,0,1,0,2
Burster,0,1,0,2
Captain Jones,0,0,0,1
Cave Spiders,0,0,0,2
Channeling Earl Osam,1,0,1,0
Coldheart,0,0,1,6
Colerian the Barbarian,0,0,0,7
Count Vlarkorth,0,25,2,150
Countess Sorrow,0,0,0,1
Cublarc the Plunderer,0,0,0,5
Cursed Gladiators,0,0,0,7
Custodian,0,2,0,21
Damage Resonance,0,0,0,324
Darakan the Executioner,0,2,0,5
Darkfang,0,156,0,1212
Dazed Leaf Golems,0,34,0,232
Deadeye Devious,0,0,0,1
Death Priest Shargon,0,0,0,1
Deathbine,0,1,0,29
Deathbringer,0,1,0,4
Deathstrike,0,4,2,20
Demodras,0,0,0,4
Destabilized Ferumbras,0,4,0,18
Dharalion,0,0,0,1
Diblis the Fair,0,0,0,1
Dipthrah,0,10,0,107
Dirtbeard,0,1,0,7
Diseased Bills,0,2,0,31
Diseased Dans,0,2,0,37
Diseased Freds,0,3,0,34
Doctor Perhaps,0,1,0,8
Doomhowl,0,0,0,6
Dorokoll The Mystic,0,1,0,3
Dragon Essences,2,48,6,612
Dragon Wardens,0,514,1,6712
Drasilla,0,0,0,5
Dreadful Disruptor,0,0,0,1
Dreadmaw,0,0,0,1
Dreadwing,0,0,0,6
Drume,2,250,11,1835
Duke Krule,0,25,2,156
Earl Osam,0,25,0,150
Ekatrix,0,4,0,24
Eliz The Unyielding,0,1,0,3
Enusat the Onyx Wing,0,0,0,37
Eradicator,0,28,0,192
Eshtaba The Conjurer,0,1,0,3
Esmeralda,0,0,0,4
Essence Of Malice,0,1,0,3
Ethershreck,0,0,0,5
Evil Mastermind,0,1,0,5
Faceless Bane,0,23,0,193
Fallen Challengers,0,40,0,486
Fallen Mooh'Tah Master Ghar,0,2,0,5
Fatality,0,0,0,7
Fazzrah,0,1,0,3
Ferumbras Mortal Shell,0,4,0,18
Ferumbras Soul Splinter,0,32,0,144
Flamecaller Zazrak,0,0,0,1
Fleabringer,0,0,0,1
Fleshcrawler,0,1,0,11
Foreman Kneebiter,0,1,0,1
Foreshock,0,13,0,91
Frenzy,0,50,0,593
Frostfur,0,0,0,7
Fugue,0,0,0,6
Gaffir,0,44,0,684
Gelidrazah the Frozen,0,216,0,1823
General Murius,0,0,0,1
Ghulosh,0,2,0,5
Glitterscale,0,5,0,61
Glooth Fairy,0,0,0,3
Gnomevil,0,3,0,22
Gnorre Chyllson,0,2,0,5
Golgordan,0,0,0,1
Gorgo,0,6,0,24
Gorzindel,0,2,0,7
Goshnar's Cruelty,0,4,1,18
Goshnar's Greed,0,8,0,32
Goshnar's Hatred,0,5,0,24
Goshnar's Malice,0,2,0,10
Goshnar's Megalomania,0,2,0,8
Goshnar's Spite,0,3,0,8
Grand Canon Dominus,0,103,1,757
Grand Chaplain Gaunder,0,74,0,533
Grand Commander Soeren,0,106,0,755
Grand Master Oberon,0,187,4,1337
Grand Mother Foulscale,0,0,0,1
Greed,0,0,1,0
Grimgor Guteater,0,0,0,5
Groam,0,0,0,1
Grorlam,0,0,0,1
Guard Captain Quaid,0,19,0,191
Hairman the Huge,0,0,0,1
Haunter,0,0,0,6
Hellgorak,0,0,0,2
Heoni,0,86,0,584
Hide,0,2,0,23
High Templar Cobrass,0,0,0,1
Hirintror,0,1,0,1
Horestis,0,0,0,6
Ice Overlords,0,0,0,1
Incineron,0,0,1,6
Inky,0,1,0,5
Irgix the Flimsy,0,33,0,195
Izcandar Champion of Summer,0,0,0,14
Izcandar Champion of Winter,0,1,0,11
Izcandar the Banished,0,0,0,14
Jailer,0,186,0,1315
Kalyassa,0,236,2,1868
Katex Blood Tongue,0,190,1,1255
King Zelos,0,3,1,23
Koshei the Deathless,0,1,0,7
Kraknaknork,0,1,0,1
Kreebosh the Exile,0,0,0,5
Kroazur,0,46,0,406
Kusuma,0,47,0,372
Lady Tenebris,0,1,1,18
Last Planegazer,0,0,0,3
Latrivan,0,0,0,1
Leiden,0,31,1,181
Lersatio,0,0,0,23
Lethal Lissy,0,1,0,3
Leviathan,0,0,0,3
Lisa,0,2,0,4
Lizard Gate Guardians,0,1,0,9
Lloyd,0,1,0,23
Lokathmor,0,3,0,8
Lord Azaram,0,26,1,149
Lord of the Elements,0,2,0,17
Mad Mages,0,1,0,18
Mad Technomancers,0,0,0,7
Madareth,0,0,0,4
Mahrdis,0,1,0,4
Malkhar Deathbringer,0,1,0,3
Malofur Mangrinder,0,0,0,14
Man in the Cave,0,0,0,1
Massacre,0,0,0,1
Mawhawk,0,0,0,29
Maxxenius,0,0,0,15
Mazoran,0,0,0,22
Mazzinor,0,2,0,7
Megasylvan Yselda,0,9,0,68
Melting Frozen Horrors,0,0,0,14
Menace,0,0,0,7
Mephiles,0,1,0,6
Mezlon The Defiler,0,1,0,3
Monstor,0,1,0,5
Morguthis,0,0,0,2
Morik the Gladiator,0,1,0,15
Mozradek,0,0,0,21
Munster,0,1,0,2
Neferi the Spy,0,37,0,272
Norgle Glacierbeard,0,2,0,5
Omruc,0,0,0,2
Oodok Witchmaster,0,1,0,2
Orcus the Cruel,0,0,0,7
Outburst,0,29,1,197
Paiz the Pauperizer,0,1,0,4
Plagueroot,0,12,0,29
