Monstro,Killed by Players
Foreshock,15
Frenzy,359
Frostfur,1
Fugue,2
Furious Scorpions,1
Gaffir,129
Gelidrazah the Frozen,220
General Murius,0
Ghulosh,2
Glitterscale,13
Gnomevil,3
Gnorre Chyllson,1
Golgordan,0
Gorgo,4
Gorzindel,2
Goshnar's Cruelty,4
Goshnar's Greed,10
Goshnar's Hatred,5
Goshnar's Malice,2
Goshnar's Megalomania,2
Goshnar's Spite,3
Grand Canon Dominus,102
Grand Chaplain Gaunder,88
Grand Commander Soeren,98
Grand Master Oberon,194
Grand Mother Foulscale,1
Grandfather Tridian,0
Greed,0
Grimgor Guteater,1
Grorlam,0
Guard Captain Quaid,44
Hairman the Huge,1
Haunter,0
Hellgorak,0
Heoni,79
Hide,0
High Templar Cobrass,0
Hirintror,0
Horestis,0
Ice Overlords,0
Incineron,0
Inky,0
Irgix the Flimsy,43
Izcandar Champion of Summer,0
Izcandar Champion of Winter,0
Izcandar the Banished,0
Jailer,203
Kalyassa,241
Katex Blood Tongue,192
King Zelos,4
Koshei the Deathless,0
Kraknaknork,0
Kreebosh the Exile,1
Kroazur,66
Kusuma,56
Lady Tenebris,9
Last Planegazer,0
Latrivan,0
Leiden,22
Lersatio,0
Lethal Lissy,0
Leviathan,1
Lisa,1
Lizard Gate Guardians,0
Lloyd,6
Lokathmor,2
Lord Azaram,16
Lord of the Elements,5
Mad Mages,2
Mad Technomancers,3
Madareth,0
Mahatheb,0
Mahrdis,8
Malkhar Deathbringer,0
Malofur Mangrinder,0
Massacre,0
Mawhawk,0
Maxxenius,4
Mazoran,3
Mazzinor,2
Megasylvan Yselda,5
Melting Frozen Horrors,2
Menace,0
Mephiles,0
Mezlon The Defiler,0
Monstor,0
Morguthis,1
Morik the Gladiator,3
Mozradek,3
Mr. Punish,0
Munster,0
Necropharus,1
Neferi the Spy,31
Norgle Glacierbeard,1
Omruc,2
Oodok Witchmaster,0
Orcus the Cruel,1
Outburst,23
Paiz the Pauperizer,2
Plagirath,0
Plagueroot,0
Preceptor Lazare,144
Pythius the Rotten,0
Rage of Mazoran,66
Ragiaz,0
Raging Mages,1
Rahemos,1
Ratmiral Blackwhiskers,8
Ravenous Hunger,23
Raxias,5
Razzagorn,1
Realityquake,17
Renegade Orcs,1
Ribstride,3
Rocko,0
Rocky,1
Ron the Ripper,0
Rotworm Queens,0
Rukor Zad,0
Rupture,4
Scarlett Etzel,367
Shadowpelt,154
Shard of Corruption,3
Shardhead,0
Sharpclaw,147
Sharptooth,0
Shulgrax,1
Sir Baeloc,16
Sir Nictros,16
Sir Valorcrest,0
Sister Hetai,25
Slim,1
Soul Cages,30
Soul of Dragonking Zyrtarch,3
Spirits of Earth,1
Spirits of Fire,1
Spirits of Water,1
Splasher,0
Srezz Yellow Eyes,189
Sulphur Scuttler,1
Svoren the Mad,1
Tarbaz,0
Tazhadur,233
Tentugly,20
Terofar,0
Thaian,1
Thalas,1
Thawing Dragon Lords,15
The Armored Voidborn,0
The Axeorcist,0
The Baron From Below,0
The Big Bad One,0
The Blazing Rose,3
The Blightfather,0
The Bloodtusk,4
The Bloodweb,0
The Brainstealer,11
The Collector,2
The Corruptor Of Souls,0
The Count,2
The Count Of The Core,2
The Dark Dancer,1
The Destruction,7
The Diamond Blossom,3
The Dread Maiden,3
The Dreadorian,0
The Duke Of The Depths,0
The End Of Days,150
The Enraged Thorn Knight,6
The Evil Eye,0
The False God,1
The Fear Feaster,5
The First Dragon,10
The Flaming Orchid,40
The Hag,1
The Hairy One,1
The Horned Fox,0
The Hunger,7
The Imperor,0
The Keeper,1
The Last Lore Keeper,0
The Lily of Night,3
The Manhunter,1
The Many,1
The Masked Marauder,1
The Monster,13
The Moonlight Aster,40
The Nightmare Beast,5
The Noxious Spawn,3
The Obliverator,1
The Old Widow,1
The Pale Worm,8
The Pit Lord,1
The Plasmother,0
The Rage,7
The Ravager,2
The Sandking,0
The Scourge Of Oblivion,2
The Shatterer,0
The Sinister Hermit,1
The Snapper,1
The Souldespoiler,1
The Source Of Corruption,0
The Spellstealer,2
The Time Guardian,3
The Unarmored Voidborn,0
The Unwelcome,5
The Weakened Count,0
The Welter,0
The Winter Bloom,38
Thul,1
Timira the Many-Headed,146
Tiquandas Revenge,0
Tirecz,0
Tremorak,0
Unaz the Mean,43
Ungreez,1
Urmahlullu the Weakened,26
Ushuriel,2
Utua Stone Sting,192
Vashresamun,1
Versperoth,3
Vok the Freakish,38
Warlord Ruzad,1
Webster,1
White Pale,1
Willi Wasp,0
World Devourer,7
Xogixath,2
Yakchal,0
Yirkas Blue Scales,190
Zamulosh,0
Zanakeph,0
Zevelon Duskbringer,0
Zomba,1
Zorvorax,225
Zugurosh,2
abyssal calamaries,1
acid blobs,265
acolytes of the cult,1495
adepts of the cult,2013
adult goannas,5308
adventurers,290
afflicted striders,849
aggressive chickens,0
agrestic chickens,22
amazons,4250
ancient lion knights,141
ancient scarabs,738
angry demons,0
angry plants,50
animated feathers,3066
animated guzzlemaws,0
animated moohtants,0
animated rotworms,0
animated skunks,5
animated swords,0
arachnophobicas,4941
arctic fauns,12
armadiles,50
askarak demons,60
assassins,2392
azure frogs,209
badgers,3324
bandits,385
banshees,302
barbarian bloodwalkers,2079
barbarian brutetamers,576
barbarian headsplitters,942
barbarian skullhunters,873
barkless devotees,1511
barkless fanatics,1430
bashmus,3753
bats,1857
bears,713
behemoths,1240
berserker chickens,6
betrayed wraiths,3689
biting books,1840
black cobras,391
black sheep,0
black sphinx acolytes,195
blazing fire elementals,481
blemished spawns,2141
blightwalkers,1161
blistering fire elementals,249
blood beasts,2272
blood crabs,1375
blood hands,2
blood priests,328
blue djinns,162
boar mans,1047
boars,464
bog frogs,12
bog raiders,135
bonebeasts,3076
bonelords,627
bony sea devils,6381
boogies,186
bound astral power,0
brachiodemons,166
brain squids,2702
braindeaths,227
branchy crawlers,675
breach broods,10950
brimstone bugs,1920
brittle skeletons,0
broken shapers,119
bugs,815
burning books,620
burning gladiators,627
burster spectres,4294
butterflies,234
calamaries,34
canopic jars,9
capricious phantoms,5000
carniphilas,363
carnisylvan saplings,1114
carnivostriches,782
carrion worms,399
cats,67
cave chimeras,22
cave devourers,4
cave hydras,126
cave parrots,21
cave rats,749
centipedes,1081
chakoya toolshapers,934
chakoya tribewardens,975
chakoya windcallers,938
charged disruptions,3
charged energy elementals,0
chargers,1455
charging Outburst,92
chasm spawns,0
chickens,732
choking fears,1903
clay guardians,437
cliff striders,30
cloaks of terror,74
clomps,690
cobra assassins,6914
cobra scouts,3983
cobra viziers,5231
cobras,911
containment crystals,0
containment machines,1
control towers,15
coral frogs,149
corrupt nagas,2364
corrupted souls,119
corym charlatans,720
corym skirmishers,756
corym vanguards,198
cosmic energy prism A,6
cosmic energy prism B,6
cosmic energy prism C,6
cosmic energy prism D,6
courage leeches,18
crabs,654
cracklers,0
crape mans,7421
crawlers,1906
crazed beggars,67
crazed dwarfs,0
crazed summer rearguards,5372
crazed summer vanguards,4782
crazed winter rearguards,2312
crazed winter vanguards,2524
crimson frogs,183
crocodiles,1959
crustaceae giganticae,0
crypt defilers,93
crypt shamblers,1656
crypt wardens,4079
crypt warriors,83
crystal spiders,71
crystal wolves,6
crystalcrushers,1234
cult believers,1598
cult enforcers,102
cult scholars,9
cursed apes,455
cursed books,8
cursed prospectors,37
cyclopes,4073
cyclopes drone,1138
cyclopes smith,775
damaged crystal golems,4
damaged worker golems,68
damned souls,16
dark apprentices,1291
dark carnisylvans,3007
dark fauns,380
dark magicians,867
dark monks,2809
dark soul reapers,0
dark souls,0
dark torturers,13622
dawn bats,0
dawn scorpions,0
dawnfire asuras,14174
dawnflies,231
death blobs,6146
death priests,0
deathling scouts,2238
deathling spellsingers,1253
deathspawns,26
deepling brawlers,0
deepling elites,3
deepling guards,247
deepling master librarians,18
deepling scouts,163
deepling spellsingers,350
deepling tyrants,19
deepling warriors,355
deepling workers,0
deepsea blood crabs,59
deepworms,2937
deer,503
defilers,332
demon outcasts,5464
demon parrots,1
demon skeletons,1875
demons,3094
depolarized cracklers,48
depowered minotaurs,0
desperate white deer,62
destroyers,2225
devourers,2499
diabolic imps,23
diamond servant replicas,175
diamond servants,119
dire penguins,2
diremaws,6572
disgusting oozes,0
disruptions,203
distorted phantoms,526
dogs,120
domestikions,185
doom deer,3
dragon hatchlings,2439
dragon lord hatchlings,243
dragon lords,2090
dragon servants,65
dragon wraths,12
dragonlings,8
dragons,3050
draken abominations,1685
draken elites,1039
draken spellweavers,7261
draken warmasters,8596
draptors,5
dread intruders,9432
dread minions,0
dreadbeasts,0
drillworms,1385
dromedaries,201
druid's apparitions,429
dwarf geomancers,79
dwarf guards,730
dwarf henchmen,115
dwarf miners,0
dwarf soldiers,1074
dwarfs,917
dworc fleshhunters,1604
dworc venomsnipers,1558
dworc voodoomasters,1184
earth elementals,573
earworms,0
efreet,36
eggs,0
elder bonelords,172
elder forest furies,0
elder mummies,16
elder wyrms,740
elephants,156
elf arcanists,1419
elf overseers,0
elf scouts,2362
elves,1481
emerald damselflies,4116
emerald tortoises,4526
energetic books,2416
energized raging mages,9
energuardians of tales,1750
energy elementals,3273
enfeebled silencers,3621
enlighteneds of the cult,1053
enraged bookworms,0
enraged crystal golems,330
enraged sand broods,0
enraged squirrels,10
enraged white deer,17
enslaved dwarfs,10
enthralled demons,539
eruption of destruction,14
eternal guardians,3522
evil prospectors,8
evil sheep,8
evil sheep lord,1
execowtioners,135
exotic bats,8062
exotic cave spiders,3193
eyeless devourers,1212
falcon knights,3302
falcon paladins,2144
fauns,202
feral sphinxes,4154
feverish citizens,495
feversleeps,0
filth toads,64
fire devils,43
fire elementals,4429
firestarters,2928
fish,132
flamingos,315
flimsy lost souls,10768
floating savants,99
flying books,165
foam stalkers,1883
forest furies,1325
foxes,1641
frazzlemaws,15201
freakish lost souls,109
frost dragon hatchlings,484
frost dragons,602
frost flower asuras,3286
frost giantesses,11
frost giants,2
frost trolls,281
frozen minions,61
fungosauruses,23
furies,897
furious fire elementals,0
furious trolls,0
fury of the emperor,0
gang members,95
gargoyles,1740
gazer spectres,8234
gazers,135
ghastly dragons,1669
ghost wolves,0
ghosts,936
ghoulish hyaenas,0
ghouls,4821
giant spiders,1653
girtablilu warriors,5325
gladiators,225
gloom wolves,599
glooth anemones,2177
glooth bandits,3862
glooth batteries,16
glooth blobs,5620
glooth brigands,3976
glooth golems,1614
gnarlhounds,153
gnome pack crawlers,0
goblin assassins,9
goblin leaders,0
goblin scavengers,26
goblins,324
golden servant replicas,161
golden servants,410
goldhanded cultist brides,0
goldhanded cultists,0
gore horns,4662
gorerillas,4450
gozzlers,19
grave guards,0
grave robbers,104
gravediggers,9
greater canopic jars,8
greater energy elementals,82
greater fire elementals,84
green djinns,97
green frogs,86
grim reapers,4190
grimeleeches,5198
gryphons,0
guardian golems,6
guardians of tales,198
guzzlemaws,6599
hands of cursed fate,1220
hardened usurper archers,183
hardened usurper knights,465
hardened usurper warlocks,574
harpies,4751
haunted dragons,528
haunted treelings,272
hazardous phantoms,222
headpeckers,4422
hellfire fighters,344
hellflayers,802
hellhounds,2482
hellspawns,8482
heroes,3474
hibernal moths,211
hideous fungi,323
high voltage elementals,90
hive overseers,5
honour guards,611
hoodinions,217
horses,213
hot dogs,0
hulking carnisylvans,2616
hulking prehemoths,4570
humongous fungi,467
humorless fungi,391
hunger worms,17
hunters,281
huskies,47
hyaenas,1017
hydras,3274
ice dragons,265
ice golems,135
ice witches,458
icecold books,3209
iks ahpututus,17
iks aucars,371
iks chukas,344
iks churrascans,88
iks pututus,272
infected weepers,26
infernal demons,16
infernal frogs,0
infernal phantoms,10
infernalists,9
ink blobs,54
insane sirens,2021
insect swarms,173
insectoid scouts,0
insectoid workers,1042
instable breach broods,207
instable sparkions,137
iron servant replicas,282
iron servants,495
ironblights,54
island trolls,23
jagged earth elementals,180
jellyfish,80
juggernauts,623
jungle moas,203
juvenile bashmus,5651
juvenile cyclopes,0
killer caimans,280
killer rabbits,7
knight's apparitions,338
knowledge elementals,1815
knowledge raiders,279
kollos,42
kongras,2241
lacewing moths,228
lamassus,1228
lancer beetles,588
larvas,1406
lava golems,34
lava lurker attendants,71
lava lurkers,0
lavafungi,2417
lavaworms,2769
leaf golems,232
lesser fire devils,0
lesser magma crystals,12
lesser swarmers,401
liches,588
liodiles,1004
lion archers,109
lion commanders,93
lion knights,89
lion warlocks,685
lions,666
little corym charlatans,7
lizard chosens,506
lizard dragon priests,967
lizard high guards,3560
lizard legionnaires,1634
lizard magistratuses,1
lizard nobles,0
lizard sentinels,185
lizard snakecharmers,63
lizard templars,133
lizard zaoguns,465
lost bashers,70
lost berserkers,98
lost exiles,6
lost gnomes,0
lost hushers,66
lost souls,2929
lost throwers,90
lost times,60
lucifuga araneas,1
lumbering carnivors,3723
mad scientists,227
mad sheep,6
magical spheres,142
magma bubbles,24
magma crawlers,69
magma crystals,75
makaras,514
makeshift homes,1
mammoths,2418
manta rays,0
manticores,3347
mantosauruses,4884
many faces,744
marid,28
marsh stalkers,3021
massive earth elementals,198
massive energy elementals,56
massive fire elementals,126
massive water elementals,36
meadow striders,218
mean lost souls,3885
mean maws,60
mean minions,1
mearidions,347
mechanical fighters,5
medusae,5354
memories of a banshee,0
memories of a book,0
memories of a carnisylvan,12
memories of a dwarf,0
memories of a faun,0
memories of a frazzlemaw,0
memories of a golem,0
memories of a hero,0
memories of a hydra,1
memories of a lizard,0
memories of a mammoth,0
memories of a manticore,0
memories of a pirate,0
memories of a scarab,0
memories of a shaper,0
memories of a vampire,0
memories of a werelion,0
memories of a wolf,1
memories of a yalahari,0
memories of an amazon,0
memories of an insectoid,0
memories of an ogre,0
menacing carnivors,1455
mercurial menaces,1781
mercury blobs,219
merlkins,1155
metal gargoyles,581
midnight asuras,14517
midnight panthers,0
minions of Versperoth,6
minotaur amazons,127
minotaur archers,489
minotaur bruisers,0
minotaur cult followers,9452
minotaur cult prophets,3332
minotaur cult zealots,2020
minotaur guards,732
minotaur hunters,1134
minotaur idols,12
minotaur invaders,0
minotaur mages,231
minotaur occultists,0
minotaur poachers,0
minotaur totems,0
minotaurs,1892
misguided bullies,42
misguided shadows,5
misguided thieves,46
modified gnarlhounds,172
moles,52
monks,766
monks of the order,6
mooh'tah warriors,1431
moohtants,147
mould phantoms,386
mountain trolls,1864
muddy earth elementals,296
muglex clan assassins,8
muglex clan feetman,19
muglex clan scavengers,12
mummies,2757
murmillions,481
museum stone golems,1
museum stone rhinos,0
mushroom sniffers,56
mutated bats,2377
mutated humans,1020
mutated rats,1032
mutated tigers,875
mystic energy,6
naga archers,384
naga warriors,674
necromancer servants,1
necromancers,860
necromantic focuses,3
neutral deepling warriors,3
nighthunters,5354
nightmare scions,850
nightmares,1647
nightstalkers,34
noble lions,53
nomads,1185
northern pikes,23
novices of the cult,958
noxious ripptors,4743
nymphs,187
ogre brutes,78
ogre rowdies,1447
ogre ruffians,916
ogre sages,688
ogre savages,30
ogre shamans,62
omnivoras,579
orc berserkers,3512
orc cult fanatics,38
orc cult inquisitors,83
orc cult minions,79
orc cult priests,42
orc cultists,38
orc leaders,1129
orc marauders,4
orc riders,312
orc shamans,5377
orc spearmen,1207
orc warlords,388
orc warriors,1920
orchid frogs,146
orclops doomhaulers,24
orclops ravagers,20
orcs,961
orewalkers,49
overcharged disruptions,3
overcharged energy elements,5
overcharges,155
paladin's apparitions,305
pandas,32
parasites,51
parders,350
parrots,52
party skeletons,72
penguins,582
phantasms,6384
pigeons,156
pigs,128
pirat bombardiers,5572
pirat cutthroats,11643
pirat mates,4689
pirat scoundrels,5577
pirate buccaneers,339
pirate corsairs,179
pirate cutthroats,533
pirate ghosts,13
pirate marauders,771
pirate skeletons,49
pixies,109
plaguesmiths,2724
plunder patriarches,8
poachers,158
poison spiders,1886
poisonous carnisylvans,1476
polar bears,746
pookas,60
possessed trees,9
priestesses,172
priestesses of the wild sun,446
primal pack beasts,308
putrid mummies,3405
quara constrictor scouts,639
quara constrictors,76
quara hydromancer scouts,716
quara hydromancers,41
quara mantassin scouts,174
quara mantassins,36
quara pincher scouts,801
quara pinchers,45
quara predator scouts,907
quara predators,43
rabbits,524
rage squids,606
rats,456
ravenous lava lurkers,2880
reality reaver,144
reality reavers,10784
redeemed souls,0
reflections of Mawhawk,0
reflections of Obujos,0
reflections of a Mage,0
renegade knights,2791
retching horrors,2597
rhindeer,7336
rift broods,13
rift invaders,1414
rift scythes,13
rift worms,28
ripper spectres,3031
roaring lions,420
roaring water elementals,5
rogue nagas,2236
rorcs,282
rot elementals,2181
rotten golems,485
rotworms,1961
rustheap golems,1216
sabreteeth,4482
sacred snakes,8
sacred spiders,0
salamander trainers,0
salamanders,1105
sand broods,0
sandcrawlers,941
sandstone scorpions,0
scar tribe shamans,2
scar tribe warriors,4
scarabs,817
scissorions,492
scorn of the emperor,0
scorpions,1650
sea serpents,208
seagulls,196
security golems,2
serpent spawns,4915
servants of Tentugly,154
shaburak demons,99
shadow fiends,396
shadow pupils,7
shadow tentacles,45
shaper matriarches,41
sharks,33
sheep,51
shimmying butterflies,0
shock heads,782
shrieking cry-stals,1729
sibangs,2334
sights of surrender,9
silencers,11101
silver rabbits,251
skeleton elite warriors,1696
skeleton warriors,470
skeletons,2430
skunks,114
slick water elementals,0
slimes,861
slugs,77
smugglers,349
snakes,4625
solitary frost dragons,44
somewhat beatable dragons,50
sons of verminor,275
sorcerer's apparitions,282
soul reapers,0
soul-broken harbingers,1586
souleaters,2644
sparkions,10884
sparks of destruction,4907
spawns of the welter,0
spectres,464
sphinxes,6168
spiders,655
spidris,61
spidris elite,20
spiky carnivors,3725
spirits of fertility,2
spit nettles,168
spite of the emperor,0
spitters,471
spyrats,236
squid wardens,3340
squidgy slimes,320
squirrels,119
stabilizing dread intruders,204
stabilizing reality reavers,225
stalkers,264
stalking stalks,2490
stampors,1
starving wolves,0
stone devourers,41
stone golems,895
stone rhinos,4
stonerefiners,3609
strange rats,463
strange slimes,3
streaked devourers,2836
sulphiders,4883
sulphur spouters,2524
sun-marked goannas,39
swamp trolls,5399
swamplings,3357
swan maidens,169
swarmer hatchlings,0
swarmers,783
swords of vengeance,0
symbols of fear,20
symbols of hatred,133
tainted souls,18
tarantulas,1844
tarnished spirits,27
tentacle of the Deep Terror,0
terramites,130
terror birds,176
terrorsleeps,0
thanatursuses,2236
the primal menace,14
thieves,13
thieving squirrels,0
thorn minions,112
thorn steeds,3
thornback tortoises,1501
thornfire wolves,6
tigers,104
time keepers,18
toads,1190
tomb servants,0
tormented ghosts,26
tortoises,1503
toxic swarms,20
travelling merchants,0
tremendous tyrants,16
troll champions,10
troll guards,0
troll legionnaires,0
troll marauders,3
troll-trained salamanders,936
trolls,609
true dawnfire asuras,5664
true frost flower asuras,1344
true midnight asuras,6809
tunnel devourers,9
tunnel tyrants,7
turbulent elementals,6564
twisted pookas,291
twisted shapers,88
two-headed turtles,4527
ugly monsters,58
unbound blightwalkers,2
unbound defilers,1
unbound demon outcasts,0
unbound demons,4
undead cavebears,0
undead dragons,161
undead elite gladiators,1190
undead gladiators,1450
undead mine workers,6
undead prospectors,4
undertakers,4793
unstable sparks,198
usurper archers,68
usurper commanders,797
usurper knights,104
usurper warlocks,63
valkyries,1900
vampire brides,939
vampire pigs,2
vampire viscounts,853
vampires,1526
varnished diremaws,18
venerable foam stalkers,87
venerable girtablilus,2339
vermin swarms,35
vexclaws,7638
vibrant phantoms,14
vicious liches,103
vicious squires,5540
vile destroyers,80
vile grandmasters,1418
voidshards,0
vulcongras,185
wailing widows,667
walkers,51
war golems,347
war wolves,7182
warlocks,26
waspoids,1011
wasps,7801
water buffalos,75
water elementals,789
weakened demons,0
weakened frazzlemaws,6122
weepers,53
werebadgers,2021
werebears,923
wereboars,1110
werefoxes,675
werehyaena shamans,7389
werehyaenas,18411
werelionesses,22172
werelions,20115
werewolves,805
white deer,86
white lions,6729
white shades,10
wigglers,1178
wild horses,8
wild warriors,578
wilting leaf golems,371
winter wolves,2843
wisps,154
witches,1669
wolves,1719
woodlings,310
worker golems,146
worm priestesses,1460
wyrms,2801
wyverns,1864
yalahari despoilers,19
yetis,0
yielothax,2065
young goannas,6601
young sea serpents,209
young trolls,11
zombies,156
Total,1076425
